53, 37,
56, 39,
52, 38,
48, 35,
50, 36,
60, 38,
52, 38,
51, 37,
57, 39,
52, 38,
46, 34,
46, 34,
54, 38,
54, 38,
52, 38,
51, 38,
50, 35,
53, 38,
59, 39,
53, 38,
47, 36,
54, 38,
57, 37,
53, 38,
48, 35,
51, 37,
51, 36,
52, 38,
53, 38,
51, 37,
51, 38,
52, 37,
52, 37,
47, 34,
48, 36,
52, 37,
53, 38,
51, 37,
51, 37,
50, 37,
55, 37,
50, 36,
52, 37,
59, 38,
50, 36,
47, 34,
48, 35,
49, 35,
58, 38,
53, 37,
50, 38,
51, 37,
50, 37,
48, 36,
56, 39,
52, 38,
49, 37,
55, 39,
55, 38,
53, 38,
52, 38,
53, 37,
48, 36,
53, 38,
51, 37,
59, 39,
49, 37,
53, 37,
48, 36,
48, 34,
48, 35,
55, 38,
53, 38,
49, 37,
54, 37,
58, 38,
54, 39,
54, 38,
61, 38,
53, 38,
48, 36,
47, 34,
49, 48,
48, 36,
47, 33,
49, 37,
52, 38,
52, 38,
51, 37,
47, 36,
56, 39,
54, 38,
55, 39,
54, 38,
50, 37,
49, 37,
47, 34,
52, 38,
59, 38,
57, 38,
46, 34,
55, 39,
52, 38,
55, 37,
49, 37,
49, 37,
50, 36,
52, 38,
55, 39,
58, 39,
57, 37,
50, 37,
57, 37,
52, 38,
48, 34,
50, 37,
53, 38,
53, 38,
60, 38,
50, 38,
53, 38,
52, 38,
59, 38,
60, 38,
49, 37,
58, 39,
48, 36,
59, 38,
48, 35,
57, 38,
53, 38,
54, 38,
51, 38,
49, 36,
53, 38,
58, 39,
49, 37,
48, 36,
56, 39,
53, 38,
50, 37,
51, 37,
53, 38,
50, 37,
54, 39,
54, 38,
50, 36,
53, 37,
53, 38,
52, 37,
47, 34,
49, 37,
48, 36,
55, 39,
51, 38,
49, 37,
58, 39,
55, 39,
54, 38,
50, 36,
50, 37,
48, 36,
48, 35,
55, 38,
49, 37,
52, 38,
50, 37,
55, 37,
58, 38,
48, 34,
59, 37,
54, 38,
54, 39,
48, 33,
50, 37,
57, 39,
52, 37,
52, 37,
59, 38,
53, 38,
48, 35,
49, 37,
55, 36,
50, 37,
59, 38,
58, 38,
52, 38,
52, 38,
55, 39,
48, 35,
52, 37,
55, 39,
57, 38,
49, 35,
52, 37,
51, 38,
55, 39,
48, 36,
53, 38,
52, 38,
49, 37,
53, 38,
54, 38,
51, 38,
48, 36,
49, 36,
52, 38,
53, 38,
51, 37,
50, 36,
48, 34,
54, 38,
48, 36,
52, 38,
53, 38,
47, 34,
